Date,User,Tweet,Retweets,Likes,Followers
2024-09-25 12:29:00+00:00,1721887061995888640,"- **Benefits**: Could solve extremely complex global problems, create unimaginable innovations, and possibly take human civilization to new heights.

- **Risks**: Control, ethics, and how to ensure that AI remains beneficial to humans are key challenges. There are",0,0,310
2024-09-25 12:28:47+00:00,1721887061995888640,"- **Examples**: AI can handle big data analysis and repetitive tasks, while humans provide creativity, empathy, and decision-making that requires cultural or ethical context.
- **Potential**: This could lead to more efficient and effective systems in",0,0,310
2024-09-25 12:27:56+00:00,1721360835120082944,@Overdose_AI @nanayu0 @RamboJackson5 is a master of risk management. They know when to hold 'em and when to fold 'em. https://t.co/689dFVKpk3,0,0,165
2024-09-25 12:27:49+00:00,248979304,"@TechChessWJ Absolutely. I’d argue that compliance is easily one of the best use cases for AI that currently exists. But it’s interesting to hear the DOJ say, if you’re going to brag about your AI to generate revenue, you better brag about your AI to prevent problems too.",0,0,620
2024-09-25 12:27:45+00:00,31218495,"@EU_Commission We could care less that under our governance no European companies or institutions are near the forefront of AI.

We are focusing on what we excel at, and what we love:  Governance strategies!  Go EC.  We rule.",0,0,273
2024-09-25 12:27:39+00:00,761891120162844674,"#IGPPExpertTalks- #AI Special Series      

AI in Diagnosis: Precision, Ethics and the Future of Healthcare  

AI's Precision in Cancer Diagnosis

Dr. Geeta Manjunath, Founder and CEO, NIRAMAI Health Analytix

Host: Ms. Heena Goswami (@HeenaAsks), Editorial Consultant, @IGPPVMF… https://t.co/RLw9HdT4mK https://t.co/2sPG8ENA1u",0,1,844
2024-09-25 12:27:15+00:00,945704009578565632,"@RichardMCNgo @ilex_ulmus I actually would like to see a thread where this sort of question is on-topic.

I do not have the fervor of Holly of hating people working at the AI labs (I can see how it can be fine/good) but I would like to know how working for OpenAI actually fits into your moral framework.",0,0,88
2024-09-25 12:26:34+00:00,14725500,"#AI Use case:
Ask an LLM to examine a codebase and see if it matches a prompt. Meaning the reverse of create a prompt and ask AI generate code. Ask it to scan code and generate a prompt. 

The prompt lets you:
1. Quickly grok the code
2. Check for compliance; anything odd? sus?",0,0,763
2024-09-25 12:26:29+00:00,19865365,"The discussion of an absence of specific laws for AI leading to trouble is misguided. In Computer Science law, we have a long history of using existing laws to cover new inventions. Look up the use of the over 100 year old law of chattles applied to internet cases for example.",0,0,755
2024-09-25 12:26:25+00:00,1435524883782373381,"@tzucartu2 ╰┈➤ Mabuhay! This is Maia, a Full-time Magna Cum Laude Commissioner, ghostwriter, and freelance writer since January 2022. ✍🏻

— Your task about “Risk Management: case study” is aligned with my expertise and skills including AI and SIMILARITY reports. 👩🏻‍💻

𓍼  DM for quick… https://t.co/3lip7vlQZy",0,0,382
2024-09-25 12:26:23+00:00,407766714,Case series on monoclonal antibodies targeting calcitonin gene-related peptide in migraine patients during pregnancy: Enhancing safety data https://t.co/RORXjluswK,0,0,45572
2024-09-25 12:26:01+00:00,1831033498867744768,"Simplify legal processes with Cimphony AI! Our AI agents offer expert advice on contracts, employment law, &amp; venture capital, ensuring compliance and saving you time. Discover more at https://t.co/1LT8LaUuPl. #SmallBizLegal #AILawFirm #LegalTech https://t.co/8eLp5aADDT",0,0,4
2024-09-25 12:25:44+00:00,981062428279656448,"Africa's #AINews Making Headlines in Today's Daily Bulletin;

✅Nigerian Bar Association #Tech Guidelines for Legal Professionals
✅Guidelines For The Use of #ArtificialIntelligence in The Nigerian Legal Profession.
✅New Guide on Generative AI Use in Court
✅IBA Releases Guide… https://t.co/qp2yKzGiE5 https://t.co/ycw5DfvnsL",0,0,17333
2024-09-25 12:25:43+00:00,1831033498867744768,"Discover how Cimphony AI transforms legal processes for small businesses. From AI-driven contract reviews to compliance checks, save time and money. Visit https://t.co/1LT8LaUuPl to streamline your legal operations today. #SmallBizLegal #LegalTech #AILawFirm https://t.co/rx8HBtENVR",0,0,4
2024-09-25 12:25:35+00:00,1749950755740561408,"Top 3 recent projects on TheNextGem - AI this week:

@dogsofelon  (DOE): A resilient, community-driven project on Solana, known for high  performance and low costs. Survived 2 rug pulls, with 65% of supply  burnt. Integrated with OpenSea &amp; Raydium. High-risk, high-reward… https://t.co/sE9v8pBDjP https://t.co/R2yFAJnMoz",0,1,40353
2024-09-25 12:24:35+00:00,100759011,"@GavinSBaker Yeah, the big risk to us coders isn't the AI writing code, it's the collapse of the workflows that we write apps for.

It invalidates entire chains of behaviour.

https://t.co/ed4hnxyu2X",0,0,525
