Date,User,Tweet,Retweets,Likes,Followers
2024-08-30 15:35:23+00:00,1755044203560595457,"@ByronDonalds @CPAC AI Chat GPT was asked:

How does a person’s values affect their policy position

Answer was:

A person’s values play a fundamental role in shaping their policy positions because values serve as the underlying principles that guide beliefs, decisions, and behaviors.",0,0,9
2024-08-30 15:34:56+00:00,1612877073554587648,"""The rapid adoption of AI by governments risks even stronger executive dominance over the other branches of government"" writes @FranklinDVrieze from @WFD_Democracy in this CEDAR blog post👇

https://t.co/V63V0xKjJV

#AI #Democracy #Governance",1,1,976
2024-08-30 15:34:51+00:00,69677821,Codeium Ranked Amongst the Three Highest Scoring Vendors for All 5 Use Cases in the First Gartner® Critical Capabilities Report for AI Code Assistants https://t.co/QFlLl4x9f2,0,0,566
2024-08-30 15:34:36+00:00,1677605580981301249,"Just saw AI doing coding work and I'm torn between awe and terror! As a software engineer, it's fascinating to see AI's capabilities, but also a little scary to think about the future of our profession! 🤖💻 #AIvsHuman #Coding #FutureOfWork""",0,0,26
2024-08-30 15:33:05+00:00,109680858,With the launch of revolutionary #HPEArubaNetworking Wi-Fi 7 access points in the Middle East &amp; Africa. Learn more.  https://t.co/Ba0NczKvud,0,0,134
2024-08-30 15:33:01+00:00,15772030,With the launch of revolutionary #HPEArubaNetworking Wi-Fi 7 access points in the Middle East &amp; Africa. Learn more.  https://t.co/GxbiXEu298,0,0,416
2024-08-30 15:32:54+00:00,1609997644696256517,With the launch of revolutionary #HPEArubaNetworking Wi-Fi 7 access points in the Middle East &amp; Africa. Learn more.  https://t.co/UlZJOt4rV3,0,0,17
2024-08-30 15:32:34+00:00,1800793470107533312,"4/ 🌍 Meta AI:

Meta AI is pushing the boundaries of what’s possible in the digital world. With its advanced image generation capabilities, it’s not just about creating pictures; it’s about creating entire experiences. Imagine virtual worlds brought to life with just a few… https://t.co/Ef52p3NwJc",0,0,771
2024-08-30 15:32:15+00:00,746301138,"@krassenstein I’ve been learning and following AI for years. Some of the regulation is overkill, for example, it deleted a writing prompt when writing my life tragic story (without names), and there is no way to correct this. Too much regulation kills innovation &amp; trust.",0,0,9713
2024-08-30 15:32:14+00:00,1316019709,"RT @IngNdolo: Kenya should delay AI laws. Rushed regulation could stifle our nascent AI ecosystem. Let's focus on infrastructure, talent, a…",6,0,5187
2024-08-30 15:31:26+00:00,1821568989681917952,"Hey @ethereum! check out your treasury and governance dashboards on DAOBase! Claim and verify your profile to earn the verification checkmark and join hundreds of other DAOs on the platform. 
 https://t.co/oO8Yliz2pO",0,0,10
2024-08-30 15:31:12+00:00,478747672,Transforming Central America’s workforce and productivity with gen AI #leadershipmatters https://t.co/9SaPo8XteK https://t.co/IyEVSfjbDM,0,0,91
2024-08-30 15:30:53+00:00,109680858,"HPE expands its AI-powered networking portfolio with new NDR capabilities and enhances universal ZTNA, boosting security and user experience in business-critical environments. Learn more.  https://t.co/Wz6LJdCIee",0,0,134
2024-08-30 15:30:49+00:00,15772030,"HPE expands its AI-powered networking portfolio with new NDR capabilities and enhances universal ZTNA, boosting security and user experience in business-critical environments. Learn more.  https://t.co/lkc3cUAuGD",0,0,416
2024-08-30 15:30:46+00:00,1609997644696256517,"HPE expands its AI-powered networking portfolio with new NDR capabilities and enhances universal ZTNA, boosting security and user experience in business-critical environments. Learn more.  https://t.co/jxZT4BykZe",0,0,17
2024-08-30 15:30:44+00:00,1489424199957372928,"We terminated accounts associated with state-affiliated threat actors. Our findings show our models offer only limited, incremental capabilities for malici...   Support Us: https://t.co/KZfMloJWDr #ainews #technews #ai https://t.co/hp7cgtxfdd",0,0,1051
2024-08-30 15:30:21+00:00,1683851105254375424,Breaking: Paris AI Action Summit aims to boost AI safety with practical solutions 🌍 Experts from all sectors unite to ensure AI aligns with human values. How can international cooperation transform AI regulation? #AISafety #AIRegulation,0,0,271
2024-08-30 15:30:04+00:00,1355706776,@shelby1286 XIAOMI's new smartphone with AI technology aims to revolutionize the industry with advanced features and capabilities.,0,0,43
2024-08-30 15:29:45+00:00,461635875,"@ChuckCallesto @cb_doge The proceedings went ahead as of Aug. 18, 2024, ONLY 

had we transitioned on beta 
AI🤖-protocol based®️ governance at @X in April

Brazil will draw from blank page, will not have a playbook of laws to throw at us
But my pitch went into deaf ears

And now, see the mess we are in",0,0,2365
2024-08-30 15:28:22+00:00,16318976,"""I want to make a strong protest to you. That is, I hope you die ten years earlier.""
""it seems like you're bound to go to hell after you die. Haha.""
""Why haven't you been sent bombs and killed?""

Samples from multiple emails titled ""kill yourslef."" 
The reason: our no ""AI"" policy",5,44,52227
2024-08-30 15:23:32+00:00,1782692573175296001,@ITIFdc @castrotech @apecperu Digital trade and trust are game-changers. https://t.co/rv9DeGdhok,0,0,106
2024-08-30 15:22:42+00:00,1741034487473950720,"I do have my working tech stack in place, as I was running an unsuccessful boilerplate project for a few years, but I feel like testing the AI code generation capabilities on those 2, I think they both are great candidates for me to try and introduce AI into my rusty workflow",0,0,5030
2024-08-30 15:21:44+00:00,1676445183960051713,10/10 TL;DR: Amazon's Alexa revamp shows promise for new revenue streams and improved AI capabilities. It's a bold move that could pay off big if executed well. Definitely one to watch for $AMZN investors! #AmazonStock #InvestorInsights,0,0,1603
2024-08-30 15:18:39+00:00,418188075,"California’s legislature passed a major artificial intelligence (AI) regulation bill, which now awaits Governor Gavin Newsom’s signature to become law. https://t.co/yLTZ68HcV9",0,0,10087
2024-08-30 15:18:10+00:00,87712431,"As AI governance initiatives spread worldwide, the UN's attempt to centralize AI policy might hinder agility and amplify geopolitical divides. @cam_kerry argues for a more networked, flexible approach to better manage the complexities of AI.
https://t.co/GfzhKQQNkh",0,0,25037
2024-08-30 15:17:02+00:00,237422158,"Day 1 of #GLOBSEC2024 continued with a discussion ""Emerging Technologies: Enhancing Collaborative Resilience."" 

Brandon Tseng (President, Shield AI @shieldaitech), Arnaud David (Director Public Policy EMEA, Amazon Web Services @awscloud), Lukáš Kintr (Director, National Cyber… https://t.co/rNygjsdytl https://t.co/h7sNVUHqnv",1,2,17378
2024-08-30 15:16:18+00:00,1535991448071462912,@KirkDBorne @abacusai https://t.co/5a7ocUfIJ5 looks incredible!  Can't wait to see it boost AI capabilities in solar energy mapping and disaster management. Have you tried their AI Agent Workflow yet? #Sustainability #ML,0,0,10
2024-08-30 15:15:44+00:00,17733809,"Been experimenting with @cursor_ai and mind blown by its capabilities. Multi file editing using composer is a game changer. Takes a while to get used to the interface but once you get a hang of it, it’s a rocketship! Shoutout to @mckaywrigley for detailed tutorials!",0,0,178
2024-08-30 15:15:08+00:00,19031057,California AI regulation bill likely headed for Newsom's desk https://t.co/qyTTLoU2GJ,1,0,308594
2024-08-30 15:15:05+00:00,21007308,@elonmusk @elonmusk let me know if you need a representative in Brazil to stand up for X values. I have experience with govt affairs and specifically in matters related to regulation of novel technology such as AI and web3. I am Brazilian and currently run 2 software dev companies there.,0,0,78
2024-08-30 15:14:40+00:00,1478513838165311491,"Organized crime is using AI; to generate fake info to commit frauds and extortions, enhance  phishing capabilities, use of malware to obtain personal information. https://t.co/ldnA8s71Zy",0,1,7
2024-08-30 15:14:21+00:00,73878074,That 'world's first climate positive' publisher that uses AI imagery on all of its covers is now ghosting me after I asked them for clarity on its environmental policy and provided examples of their obvious AI use... we love greenwashing in 2024,0,5,5549
